=== Enumerating S with e_3 = 0 (identity in Z[ζ_36]), n=36 ===

  6-element S with 0∈S and e_3=0: 136 aligned + 1416 non-aligned = 1552 total

--- Non-aligned S with e_3=0 ---
                                       S        N(e1)        N(e4)      gcd               primes
----------------------------------------------------------------------------------------------------
                  (0, 1, 10, 11, 13, 25)          181          181      181                [181]
                  (0, 1, 10, 11, 19, 28)            1            1        1                   []
                  (0, 1, 10, 11, 22, 34)          181          181      181                [181]
                  (0, 1, 10, 12, 19, 28)            1            1        1                   []
                  (0, 1, 10, 13, 15, 26)         5329          109        1                   []
                  (0, 1, 10, 13, 19, 28)            1            1        1                   []
                  (0, 1, 10, 14, 19, 28)            9            1        1                   []
                  (0, 1, 10, 15, 19, 28)            1            1        1                   []
                  (0, 1, 10, 16, 19, 28)            1            1        1                   []
                  (0, 1, 10, 17, 19, 28)            1            1        1                   []
                  (0, 1, 10, 18, 26, 35)           64            1        1                   []
                  (0, 1, 10, 19, 20, 28)            1            1        1                   []
                  (0, 1, 10, 19, 21, 28)            1            1        1                   []
                  (0, 1, 10, 19, 22, 28)            9            1        1                   []
                  (0, 1, 10, 19, 23, 28)            1            1        1                   []
                  (0, 1, 10, 19, 24, 28)            1            1        1                   []
                  (0, 1, 10, 19, 25, 28)            1            1        1                   []
                  (0, 1, 10, 19, 26, 28)            9            1        1                   []
                  (0, 1, 10, 19, 27, 28)           64            1        1                   []
                  (0, 1, 10, 19, 28, 29)            1            1        1                   []
                  (0, 1, 10, 19, 28, 30)          729            1        1                   []
                  (0, 1, 10, 19, 28, 31)            1            1        1                   []
                  (0, 1, 10, 19, 28, 32)            1            1        1                   []
                  (0, 1, 10, 19, 28, 33)            1            1        1                   []
                  (0, 1, 10, 19, 28, 34)            9            1        1                   []
                  (0, 1, 10, 19, 28, 35)            1            1        1                   []
                  (0, 1, 11, 14, 23, 35)          181          181      181                [181]
                  (0, 1, 11, 18, 25, 35)            9            1        1                   []
                  (0, 1, 11, 21, 22, 29)            1         1369        1                   []
                  (0, 1, 11, 22, 24, 27)         5329          109        1                   []
                  (0, 1, 12, 18, 24, 35)            1            1        1                   []
                  (0, 1, 12, 19, 22, 32)            1         1369        1                   []
                  (0, 1, 12, 19, 24, 34)            1            1        1                   []
                  (0, 1, 12, 20, 24, 33)           37           37       37                 [37]
                  (0, 1, 12, 21, 24, 32)           37           37       37                 [37]
                  (0, 1, 12, 22, 24, 31)         2197         2197     2197                   []
                  (0, 1, 12, 23, 24, 30)            1            1        1                   []
                  (0, 1, 12, 24, 25, 28)            1            1        1                   []
                  (0, 1, 12, 24, 26, 27)          181          181      181                [181]
                  (0, 1, 13, 15, 18, 29)            1         1369        1                   []
                  (0, 1, 13, 18, 23, 35)            9            1        1                   []
                  (0, 1, 13, 22, 25, 35)          181          181      181                [181]
                  (0, 1, 13, 23, 25, 34)          181          181      181                [181]
                  (0, 1, 13, 24, 25, 33)            1            1        1                   []
                  (0, 1, 13, 25, 26, 31)            1            1        1                   []
                  (0, 1, 13, 25, 27, 30)         2197         2197     2197                   []
                  (0, 1, 13, 25, 28, 29)           37           37       37                 [37]
                  (0, 1, 14, 18, 22, 35)            1         1369        1                   []
                  (0, 1, 14, 24, 33, 35)         5329          109        1                   []
                  (0, 1, 14, 25, 28, 35)         5329          109        1                   []
                  (0, 1, 14, 27, 28, 32)           64            1        1                   []
                  (0, 1, 15, 18, 21, 35)            9        83521        1                   []
                  (0, 1, 15, 27, 32, 34)         5329          109        1                   []
                  (0, 1, 15, 29, 30, 33)            1         1369        1                   []
                  (0, 1, 16, 18, 20, 35)            1            1        1                   []
                  (0, 1, 16, 31, 32, 34)            1         1369        1                   []
                  (0, 1, 17, 33, 34, 35)            1            1        1                   []
                     (0, 2, 3, 4, 6, 21)            9            1        1                   []
                    (0, 2, 3, 4, 17, 27)         5329          109        1                   []
                    (0, 2, 3, 9, 18, 27)            1            1        1                   []
                   (0, 2, 3, 10, 21, 34)            1         1369        1                   []
                   (0, 2, 3, 11, 20, 29)            1            1        1                   []
                   (0, 2, 3, 12, 13, 24)          181          181      181                [181]
                   (0, 2, 3, 12, 21, 30)            9            1        1                   []
                   (0, 2, 3, 14, 21, 26)            1            1        1                   []
                   (0, 2, 3, 15, 25, 27)          181          181      181                [181]
                   (0, 2, 3, 17, 29, 34)         5329          109        1                   []
